"TIME","GEO","INDIC_IL","UNIT","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","14,871","e"
"2009","European Union - 28 countries","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years",":",""
"2009","European Union - 27 countries (2007-2013)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","14,871",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,259","e"
"2009","Euro area (19 countries)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","17,928",""
"2009","Euro area (18 countries)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,095",""
"2009","Belgium","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","20,167",""
"2009","Bulgaria","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","3,233",""
"2009","Czechia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","7,802",""
"2009","Denmark","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","26,360",""
"2009","Germany (until 1990 former territory of the FRG)","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","18,952",""
"2009","Estonia","Median equivalised net income","Euro","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Total","From 18 to 64 years","6,340",""
