"TIME","GEO","INDIC_IL","UNIT","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","21,613","e"
"2009","European Union - 28 countries","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years",":",""
"2009","European Union - 27 countries (2007-2013)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","21,613",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,889","e"
"2009","Euro area (19 countries)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,534",""
"2009","Euro area (18 countries)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,709",""
"2009","Belgium","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","25,445",""
"2009","Bulgaria","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","4,445",""
"2009","Czechia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","10,258",""
"2009","Denmark","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","30,883",""
"2009","Germany (until 1990 former territory of the FRG)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","24,660",""
"2009","Estonia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","8,775",""
"2009","Ireland","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","32,122",""
"2009","Greece","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","17,600",""
"2009","Spain","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","22,095",""
"2009","France","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","25,200",""
"2009","Croatia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years",":",""
"2009","Italy","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,672",""
"2009","Cyprus","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,548",""
"2009","Latvia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","8,663",""
"2009","Lithuania","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","7,679",""
"2009","Luxembourg","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","46,422",""
"2009","Hungary","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","6,849",""
"2009","Malta","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","17,124",""
"2009","Netherlands","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","26,031",""
"2009","Austria","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","26,607",""
"2009","Poland","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","8,158",""
"2009","Portugal","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","17,277",""
"2009","Romania","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","4,482",""
"2009","Slovenia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","16,486",""
"2009","Slovakia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","7,709",""
"2009","Finland","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","27,287",""
"2009","Sweden","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","24,783",""
"2009","United Kingdom","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,229",""
"2009","Iceland","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","26,695",""
"2009","Norway","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","40,700",""
"2009","Switzerland","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","39,984",""
"2009","North Macedonia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years",":",""
"2009","Serbia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years",":",""
"2009","Turkey","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","7,878",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","21,484","e"
"2010","European Union - 28 countries","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","21,484",""
"2010","European Union - 27 countries (2007-2013)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","21,547",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,948","e"
"2010","Euro area (19 countries)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,556",""
"2010","Euro area (18 countries)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,759",""
"2010","Belgium","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","26,143",""
"2010","Bulgaria","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","4,705",""
"2010","Czechia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","10,168",""
"2010","Denmark","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","31,996",""
"2010","Germany (until 1990 former territory of the FRG)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","24,823",""
"2010","Estonia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","8,360",""
"2010","Ireland","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","28,537",""
"2010","Greece","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","18,289",""
"2010","Spain","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","21,725",""
"2010","France","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","25,444",""
"2010","Croatia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","9,318",""
"2010","Italy","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,869",""
"2010","Cyprus","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,426",""
"2010","Latvia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","7,452",""
"2010","Lithuania","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","6,474",""
"2010","Luxembourg","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","48,066",""
"2010","Hungary","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","6,092",""
"2010","Malta","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","17,273",""
"2010","Netherlands","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","25,949",""
"2010","Austria","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","26,953",""
"2010","Poland","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","6,974",""
"2010","Portugal","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","16,657",""
"2010","Romania","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","4,230",""
"2010","Slovenia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","16,547",""
"2010","Slovakia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","8,375",""
"2010","Finland","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","27,691",""
"2010","Sweden","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","22,424",""
"2010","United Kingdom","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,980",""
"2010","Iceland","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","21,939",""
"2010","Norway","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","38,583",""
"2010","Switzerland","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","42,026",""
"2010","North Macedonia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years",":",""
"2010","Serbia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years",":",""
"2010","Turkey","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","7,136",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","21,459","e"
"2011","European Union - 28 countries","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","21,459",""
"2011","European Union - 27 countries (2007-2013)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","21,525",""
"2011","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,658","e"
"2011","Euro area (19 countries)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,364",""
"2011","Euro area (18 countries)","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","23,554",""
"2011","Belgium","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","26,122",""
"2011","Bulgaria","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","4,714",""
"2011","Czechia","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","10,718",""
"2011","Denmark","Median equivalised net income","Euro","Tertiary education (levels 5-8)","Total","From 18 to 64 years","33,933","b"
